N,BubbleSort(ms),HeapSort(ms),SmartBogoSort(ms)
2,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
5,0,0,0
7,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
17,0,0,0
21,0,0,0
25,0,0,0
30,0,0,0.2
36,0,0,1.8
44,0,0,2.4
53,0,0,5.8
63,0,0,11.8
76,0,0,18
92,0,0,35.4
110,0,0,60.4
132,0,0,126.4
158,0,0,253.8
190,0,0,475.2
228,0,0,1073.2
274,0,0,2142.2
329,0,0,4394
395,0,0,8853.8
474,0,0,22636.6
569,0.6,0,47821.6
683,1,0,74764.8
820,2.2,0,147822
984,2.4,0,308097
1181,4.4,0,629527
1417,6.4,0,1.39559e+06
1701,10.2,0,2.84292e+06
2041,14,0,5.54045e+06
2449,21,0,1.13921e+07
